기준연도,종목구분,운영종목,사업체 수,이용객 대상 안전교육 실시(율),직원 대상 내부 안전교육 실시(율),안전관리 매뉴얼_체크리스트 보유(율),자격증 보유 직원 고용(율),시설_장비 대상 자체 안전점검(율),시설_장비 대상 외부 안전검사(율),비상 대피 탈출구 확보(율)
2019,육상,전체,1018,99.7,74.6,90.8,65.5,99.5,81.8,81.5
2019,육상,서바이벌,266,100.0,90.0,92.0,81.0,100.0,89.0,73.0
2019,육상,번지점프,8,100.0,100.0,100.0,100.0,100.0,75.0,75.0
2019,육상,카트,66,100.0,85.0,100.0,75.0,100.0,90.0,70.0
2019,육상,하강시설(짚라인),55,100.0,100.0,94.7,84.2,100.0,100.0,73.7
2019,육상,4륜오토바이(ATV),248,100.0,93.3,97.8,85.4,100.0,94.4,80.9
2019,육상,스포츠클라이밍,315,100.0,41.1,82.1,32.1,99.4,66.1,94.0
2019,육상,파크골프(그라운드골프 포함),14,75.0,75.0,100.0,50.0,75.0,75.0,75.0
2019,육상,MTB,14,100.0,75.0,75.0,75.0,100.0,75.0,75.0
2019,육상,BMX,4,100.0,50.0,0.0,50.0,100.0,0.0,0.0
2019,육상,인라인스케이트,25,100.0,70.0,100.0,60.0,100.0,50.0,100.0
2019,육상,스케이트보드,3,100.0,0.0,100.0,0.0,100.0,0.0,0.0
2019,수상,전체,1626,100.0,80.6,93.5,78.9,99.1,88.7,77.3
2019,수상,래프팅,225,100.0,97.7,94.3,93.2,100.0,97.7,83.0
2019,수상,웨이크보드/수상스키,268,100.0,96.8,96.8,96.1,99.4,98.1,91.6
2019,수상,워터슬라이드,44,100.0,100.0,100.0,100.0,100.0,100.0,90.9
2019,수상,수상오토바이,26,100.0,75.0,100.0,87.5,100.0,100.0,87.5
2019,수상,윈드서핑/서핑,199,100.0,81.8,92.6,74.4,100.0,89.3,71.9
2019,수상,스킨스쿠버,395,100.0,50.9,88.6,49.1,96.6,65.7,68.0
2019,수상,카누/카약,84,100.0,89.7,93.1,89.7,100.0,89.7,72.4
2019,수상,모터보트/파워보트,239,100.0,96.1,97.4,96.7,100.0,98.0,94.7
2019,수상,요트,146,100.0,68.5,91.8,68.5,100.0,97.3,43.8
2019,항공,전체,120,100.0,58.0,91.4,55.9,100.0,80.2,52.4
2019,항공,패러글라이딩,88,100.0,58.5,95.1,53.7,100.0,75.6,48.8
2019,항공,행글라이딩,7,100.0,0.0,100.0,0.0,100.0,100.0,100.0
2019,항공,초경량항공기,12,100.0,42.9,85.7,57.1,100.0,100.0,71.4
2019,항공,열기구,6,100.0,100.0,66.7,100.0,100.0,100.0,33.3
2019,항공,스카이다이빙,7,100.0,100.0,66.7,100.0,100.0,66.7,33.3
2020,육상,전체,999,100.0,55.7,62.0,32.9,99.3,73.7,84.7
2020,육상,서바이벌,223,100.0,68.1,66.7,43.5,100.0,79.7,91.3
2020,육상,번지점프,11,100.0,75.0,75.0,50.0,100.0,100.0,100.0
2020,육상,카트,65,100.0,65.2,65.2,26.1,95.7,82.6,95.7
2020,육상,하강시설(짚라인),68,100.0,73.9,73.9,73.9,100.0,95.7,39.1
2020,육상,4륜오토바이(ATV),248,100.0,65.9,69.3,38.6,100.0,76.1,75.0
2020,육상,스포츠클라이밍,324,100.0,37.0,53.8,16.8,100.0,63.0,98.4
2020,육상,파크골프(그라운드골프 포함),12,100.0,66.7,33.3,33.3,66.7,33.3,33.3
2020,육상,MTB,12,100.0,25.0,25.0,0.0,100.0,50.0,50.0
2020,육상,BMX,5,100.0,0.0,33.3,0.0,100.0,33.3,33.3
2020,육상,인라인스케이트,27,100.0,36.4,54.5,18.2,100.0,81.8,90.9
2020,육상,스케이트보드,4,100.0,0.0,0.0,0.0,100.0,50.0,50.0
2020,수상,전체,1632,100.0,62.2,82.0,51.3,99.1,88.0,57.1
2020,수상,래프팅,232,100.0,73.1,76.9,56.4,100.0,93.6,76.9
2020,수상,웨이크보드/수상스키,280,100.0,83.5,85.1,73.6,100.0,94.2,58.7
2020,수상,워터슬라이드,35,100.0,75.0,87.5,62.5,100.0,87.5,87.5
2020,수상,수상오토바이,24,100.0,100.0,100.0,100.0,100.0,100.0,50.0
2020,수상,윈드서핑/서핑,209,100.0,63.9,89.8,34.3,100.0,82.4,33.3
2020,수상,스킨스쿠버,409,100.0,33.1,78.3,28.0,96.6,73.7,58.9
2020,수상,카누/카약,82,100.0,64.3,75.0,53.6,100.0,96.4,57.1
2020,수상,모터보트/파워보트,208,100.0,83.8,82.4,78.4,100.0,98.6,59.5
2020,수상,요트,153,100.0,42.9,82.5,39.7,100.0,93.7,42.9
2020,항공,전체,135,100.0,52.6,76.7,33.5,100.0,92.3,59.6
2020,항공,패러글라이딩,105,100.0,57.9,75.4,33.3,100.0,94.7,63.2
2020,항공,행글라이딩,5,100.0,0.0,50.0,0.0,100.0,100.0,50.0
2020,항공,초경량항공기,12,100.0,22.2,88.9,22.2,100.0,88.9,22.2
2020,항공,열기구,4,100.0,100.0,100.0,100.0,100.0,100.0,0.0
2020,항공,스카이다이빙,9,100.0,40.0,80.0,40.0,100.0,60.0,100.0
2021,육상,전체,1036,100,56,84.7,26.3,99.8,83,63.6
2021,육상,서바이벌,239,100,61.9,90.3,35.4,100,91.2,57.5
2021,육상,번지점프,9,100,75,75,50,100,100,100
2021,육상,카트,69,100,84.8,90.9,39.4,97,87.9,48.5
2021,육상,하강시설(짚라인),57,100,95.2,95.2,47.6,100,100,47.6
2021,육상,4륜오토바이(ATV),236,100,64.9,91.2,36,100,92.1,55.3
2021,육상,스포츠클라이밍,354,100,35.6,73.5,10.6,100,68.9,78.8
2021,육상,파크골프(그라운드골프 포함),8,100,75,100,25,100,50,25
2021,육상,MTB,13,100,45.5,90.9,18.2,100,72.7,27.3
2021,육상,BMX,7,100,66.7,100,0,100,66.7,66.7
2021,육상,인라인스케이트,34,100,38.5,84.6,7.7,100,84.6,84.6
2021,육상,스케이트보드,10,100,33.3,66.7,0,100,66.7,33.3
